Name,SB6,SB8,SB10,SB12,SB17,SB21,SB38,SB39,SB42,SB50,SB73,SB79,SB89,SB101,SB107,SB116,SB117,SB122,SB128,SB129,SB140,SB147,SB151,SB153,SB163,SB165,SB176,SB183,SB189,SB197,SB218,SB238,HB1,HB2,HB3,HB14,HB26,HB35,HB38,HB50,HB67,HB74,HB93,HB100,HB112,HB113,HB119,HB144,HB158,HB163,HB173,HB183,HB189,HB191,HB192,HB195,HB207,HB222,HB223,HB225,HB226,HB227,HB237,HB239,HB242,HB245,HB246,HB255,HB262,HB265,HB268,HB269,HB270,HB271,HB276,HB284,HB289,HB293,HB299,HB304,HB306,HB311,HB312,HB318,HB324,HB324_1,HB329,HB337,HB343,HB351,HB366,HB368,HB384,HB403,HB410,HB453,HB498,HB502,HB520,HCR59,SB9,SB13,SB14,SB18,SB56,SB61,SB78,SB82,SB86,SB92,SB94,SB95,SB99,SB108,SB110,SB111,SB112,SB119,SB145,SB156,SB161,SB188,SB190,SB215,SB247,HB 524,SB 235,SB 219,SB 120,SB 114,HB 522,HB 492,HB 484,HB 482,HB 469,HB 443,HB 417,HB 404,HB 396,HB 394,HB 388,HB 387,HB 377,HB 376,HB 375,HB 360,HB 333,HB 330,HB 319,HB 309,HB 282,HB 277,HB 257,HB 253,HB 241,HB 206,HB 156,HB 128,HB 78,HB 72,HB 33,HB 13,HCR 48,HCR 90,SB 114_1,SB 1,HJR 56,HB 161,HB 184,HB 200,HB 208,HB 215,HB 234,HB 238,HB 274,HB 294,HB 314,HB 350,HB 364,HB 374,HB 378,HB 390,HB 395,HB 471,SB2,SB11,SB19,SB32,SB62,SB75,SB81,SB83,SB91,SB104,SB126,SB135,SB136,SB139,SB150,SB159,SB31,hb473,hb540,SB170,SB173,SB177,SB182,SB195,SB205,SB222,SB224,SB236,SB248,SB249,SB3,SB4,SB5,SB146,HB153,HB174,HB180,HB281,HJR56,name,SB002,Corrected SB146
Alvarado,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Pass,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,YEA,yea,yea,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Yay,yay,yay,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV
Bowen,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,YEA,yea,yea,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,yay,yay,yay,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV
Buford,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,YEA,yea,yea,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,yay,yay,yay,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV
Carpenter,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,YEA,yea,yea,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,yay,yay,yay,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV
"Carroll, Danny",Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV
"Carroll, Julian",Nay,Nay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,YEA,YEA,YEA,YEA,NAY,YEA,NV,NV,NV
Clark,Nay,Nay,Yay,Nay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,NV,Nay,Nay,Nay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Nay,Nay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NAY,NV,YEA,NV,NV,YEA,YEA,Yea,NV,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yay,Nay,NV,Nay,NV,Yay,NV,Yay,NV,Yay,Yay,Yay,Nay,Yay,YEA,yea,yea,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NV,YEA,YEA,YEA,yay,nv,Nay,YEA,YEA,YEA,YEA,NAY,YEA,NV,NV,NV
Embry,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Nay,Yay,Yay,Yay,Nay,Yay,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,YEA,yea,yea,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,yay,Nay,yay,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV
Girdler,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,YEA,yea,yea,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,yay,yay,yay,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV
Givens,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,Yea,Yea,Yea,Yea,Yea,Yea,NV,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,YEA,yea,yea,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,yay,yay,yay,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV
