Name,HB003,HB404
Adkins,NAY,NAY
Bechler,YEA,YEA
Bentley,NAY,YEA
Benvenuti,YEA,YEA
Blanton,NV,YEA
Bratcher,YEA,YEA
Brown G,NAY,NAY
Brown L,YEA,YEA
Bunch,YEA,YEA
Burch,NAY,NAY
Cantrell,NAY,NAY
Carney,YEA,NV
Castlen,YEA,YEA
Couch,YEA,YEA
Coursey,NAY,NAY
DeCesare,YEA,YEA
Donohue,NAY,NAY
Dossett,YEA,YEA
DuPlessis,YEA,YEA
Elliott,YEA,YEA
Fischer,YEA,YEA
Fleming,YEA,YEA
Flood,NAY,NAY
Fugate,YEA,YEA
Gentry,NAY,NAY
Gooch,YEA,YEA
Graham,NAY,NAY
Greer,NAY,NAY
Hale,YEA,YEA
Harris,NAY,NAY
Hart,YEA,YEA
Hatton,NAY,NAY
Heath,YEA,YEA
Herald,YEA,YEA
Hoover,YEA,YEA
Horlander,NV,NAY
Imes,YEA,YEA
Jenkins,NAY,NAY
Johnson D,YEA,YEA
Johnson DJ,YEA,YEA
Kay,NAY,NAY
Keene,NAY,NAY
King,YEA,YEA
Koenig,YEA,YEA
Lee,YEA,YEA
Linder,YEA,YEA
Marzian,NAY,NAY
Mayfield,YEA,YEA
McCoy,YEA,YEA
Meade,YEA,YEA
Meeks,NV,NV
Meredith,YEA,YEA
Meyer,NAY,NAY
Miles,YEA,YEA
Miller C,NAY,NAY
Miller J,YEA,YEA
Mills,YEA,YEA
Moffett,YEA,YEA
Moore,YEA,YEA
Morgan,YEA,YEA
Moser,YEA,YEA
Nelson,NAY,NAY
Nemes,YEA,YEA
Osborne,YEA,YEA
Overly,NAY,NV
Owens,NAY,NAY
Palumbo,NAY,NAY
Petrie,YEA,YEA
Pratt,YEA,YEA
Prunty,YEA,YEA
Rader,NV,NV
Rand,NAY,NAY
Reed,YEA,YEA
Richards,NAY,NAY
Riggs,NAY,NAY
Riley,YEA,YEA
Rothenburger,YEA,YEA
Rowland,YEA,YEA
Rudy,YEA,YEA
Santoro,YEA,YEA
Schamore,NAY,NAY
Scott,NAY,NAY
Shell,YEA,YEA
Simpson,NAY,NV
Sims,NAY,NAY
Sinnette,NAY,NV
St. Onge,YEA,YEA
Stewart,YEA,YEA
Stone,NAY,NAY
Thomas,YEA,YEA
Tipton,YEA,YEA
Turner,YEA,YEA
Upchurch,YEA,YEA
Watkins,NAY,NAY
Wayne,NAY,NAY
Webber,YEA,YEA
Wells,YEA,YEA
Westrom,NAY,NV
Wuchner,YEA,YEA
York,NV,YEA
