Name;SB11;SB19;SB32;SB62;SB75;SB81;SB83;SB91;SB104;SB126;SB135;SB136;SB139;SB150;SB159
Alvarado;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Bowen;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Buford;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Carpenter;Yay;Yay;NV;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Carroll,Danny;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Carroll,Julian;Nay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Clark;NV;Yay;Nay;NV;Nay;NV;Yay;NV;Yay;NV;Yay;Yay;Yay;Nay;Yay
Embry;NV;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Girdler;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Givens;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Harper,Angel;Nay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Harris;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Hiqdon;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Hornback;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Humphries;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Jones;Nay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Kerr;NV;Yay;NV;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;NV;Yay;Yay;Yay
Mcaniel;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
McGarvey;Nay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Meredith;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Neal;Nay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Parrett;Yay;NV;Yay;Yay;NV;Yay;Yay;Yay;NV;Yay;Yay;Yay;Yay;Nay;Yay
Raque,Adams;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;NV;Yay
Ridley;Yay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Robinson;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Schickel;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Schroder;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Nay
Seum;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Smith;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Stivers;Yay;NV;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Thayer;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Thomas;Nay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Turner;Nay;Yay;Yay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
Webb;Nay;Yay;Nay;Yay;Nay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Nay;Yay
West;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Westerfield;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Wilson;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
Wise;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay;Yay
