name,HB208,HB238,HB274,HB374,HB395
Adkins,Yea,Yea,Yea,Yea,NV
Bechler,Yea,Yea,Yea,Yea,Yea
Bentley,Yea,Yea,Yea,Yea,Yea
Benvenuti,Yea,Yea,Yea,Yea,Yea
Blanton,Yea,Yea,Yea,Yea,Yea
Bratcher,Yea,Yea,Yea,Yea,Yea
Brown G,Yea,Yea,Yea,Yea,Nay
Brown L,Yea,Yea,Yea,Yea,Yea
Bunch,Yea,Yea,Yea,Yea,Yea
Burch,Yea,Yea,Yea,Yea,NV
Cantrell,Yea,Yea,Yea,Yea,Nay
Carney,Yea,Yea,Yea,NV,Yea
Castlen,Yea,Yea,Yea,Yea,Yea
Couch,Yea,Yea,NV,Yea,Yea
Coursey,Yea,Yea,Yea,NV,NV
DeCesare,Yea,Yea,Yea,Yea,Yea
Donohue,Yea,Yea,Yea,Yea,Nay
Dossett,Yea,Yea,Yea,Yea,Yea
DuPlessis,Yea,Yea,Yea,Yea,Yea
Elliott,Yea,Yea,Yea,Yea,Yea
Fischer,Yea,Yea,Yea,Yea,Yea
Fleming,Yea,Yea,Yea,Yea,Yea
Flood,Yea,NV,Yea,Yea,Nay
Fugate,Yea,Yea,Yea,Yea,Yea
Gentry,Yea,Yea,Yea,Yea,Yea
Gooch,Yea,Yea,Yea,Yea,Yea
Graham,Yea,Yea,Yea,Yea,Yea
Greer,Yea,NV,Yea,Yea,Nay
Hale,Yea,Yea,Yea,Yea,Yea
Harris,Yea,Yea,Yea,Yea,NV
Hart,Yea,Yea,Yea,Yea,Yea
Hatton,Yea,Yea,Yea,Yea,Yea
Heath,Yea,Yea,Yea,Yea,Yea
Herald,Yea,Yea,Yea,NV,NV
Hoover,Yea,Yea,Yea,Yea,Yea
Horlander,Yea,Yea,Yea,Yea,Yea
Imes,Yea,Yea,Yea,Yea,Yea
Jenkins,Yea,Yea,Yea,Yea,Nay
Johnson D,Yea,Yea,Yea,Yea,Yea
Johnson DJ,Yea,Yea,Yea,Yea,Yea
Kay,Yea,Yea,Yea,Yea,Nay
Keene,Yea,Yea,Yea,Yea,Nay
King,Yea,Yea,Yea,Yea,Yea
Koenig,Yea,Yea,Yea,Yea,Yea
Lee,Yea,Yea,Yea,Yea,Yea
Linder,Yea,Yea,Yea,Yea,Yea
Marzian,Yea,Yea,NV,Yea,Nay
Mayfield,Yea,Yea,Yea,Yea,Yea
McCoy,Yea,Yea,Yea,Yea,Yea
Meade,Yea,Yea,Yea,Yea,Yea
Meeks,Yea,Yea,Yea,NV,NV
Meredith,Yea,Yea,Yea,Yea,Yea
Meyer,Yea,Yea,Yea,Yea,Nay
Miles,Yea,Yea,Yea,Yea,Yea
Miller C,Yea,Yea,Yea,NV,NV
Miller J,Yea,Yea,Yea,Yea,Yea
Mills,Yea,Yea,Yea,Yea,Yea
Moffett,Yea,Yea,Yea,Yea,Yea
Moore,Yea,Yea,Yea,Yea,Yea
Morgan,Yea,Yea,Yea,Yea,Yea
Moser,Yea,Yea,Yea,Yea,Yea
Nelson,Yea,Yea,Yea,Yea,Yea
Nemes,Yea,Yea,Yea,Yea,Yea
Osborne,Yea,Yea,Yea,Yea,Yea
Overly,Yea,Yea,NV,Yea,Nay
Owens,Yea,Yea,Yea,Yea,Nay
Palumbo,Yea,Yea,Yea,Yea,Nay
Petrie,Yea,Yea,Yea,Yea,Yea
Pratt,Yea,Yea,Yea,Yea,Yea
Prunty,Yea,Yea,Yea,Yea,Yea
Rader,NV,NV,NV,NV,NV
Rand,Yea,Yea,Yea,Yea,Nay
Reed,Yea,Yea,Yea,Yea,Yea
Richards,Yea,Yea,Yea,Yea,Nay
Riggs,Yea,NV,Yea,Yea,Yea
Riley,Yea,Yea,Yea,Yea,Yea
Rothenburger,Yea,Yea,Yea,Yea,Yea
Rowland,Yea,Yea,Yea,Yea,Yea
Rudy,Yea,Yea,Yea,Yea,Yea
Santoro,Yea,Yea,Yea,Yea,Yea
Schamore,Yea,Yea,Yea,Yea,NV
Scott,Yea,Yea,Yea,NV,NV
Shell,Yea,Yea,Yea,Yea,Yea
Simpson,Yea,Yea,Yea,Yea,Yea
Sims,Yea,Yea,Yea,Yea,NV
Sinnette,Yea,Yea,Yea,Yea,Nay
St. Onge,Yea,Yea,Yea,Yea,Yea
Stewart,Yea,Yea,Yea,Yea,Yea
Stone,Yea,Yea,Yea,NV,NV
Thomas,Yea,Yea,Yea,Yea,Yea
Tipton,Yea,Yea,Yea,Yea,Yea
Turner,Yea,Yea,Yea,Yea,Yea
Upchurch,Yea,Yea,Yea,Yea,Yea
Watkins,Yea,Yea,NV,NV,NV
Wayne,Yea,Yea,Yea,Yea,Yea
Webber,Yea,Yea,Yea,Yea,Yea
Wells,Yea,Yea,Yea,Yea,Yea
Westrom,Yea,Yea,Yea,Yea,Yea
Wuchner,Yea,Yea,Yea,Yea,Yea
York,Yea,Yea,Yea,Yea,Yea
