name,HB281,SB002
Alvarado,Yea,Yea
Bowen,Yea,Yea
Buford,Yea,Yea
Carpenter,Yea,Yea
"Carroll, Danny",Yea,Yea
"Carroll, Julian",Nay,Yea
Clark,Nay,NV
Embry,Yea,Yea
Girdler,Yea,Yea
Givens,Yea,Yea
Harper Angel,Nay,Yea
Harris,Yea,Yea
Higdon,Yea,Yea
Hornback,Yea,Yea
Humphries,Yea,Yea
Jones,Nay,Yea
Kerr,Yea,Yea
McDaniel,Yea,Yea
McGarvey,Nay,Yea
Meredith,Yea,Yea
Neal,Nay,NV
Parrett,Nay,Yea
Raque Adams,Nay,Yea
Ridley,Nay,Yea
Robinson,Yea,Yea
Schickel,Yea,Yea
Schroder,Yea,Yea
Seum,Yea,Yea
Smith,Yea,Yea
Stivers,Yea,NV
Thayer,Yea,Yea
Thomas,Nay,Yea
Turner,Nay,Yea
Webb,Nay,Yea
West,Yea,Yea
Westerfield,Yea,Yea
Wilson,Yea,Yea
Wise,Yea,Yea
