Name;SB170;SB173;SB177;SB182;SB195;SB205;SB222;SB224;SB236;SB248;SB249
Alvarado;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Bowen;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Buford;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Carpenter;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Carroll,Danny;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Carroll,Julian;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA
Clark;YEA;YEA;YEA;YEA;YEA;YEA;NAY;NV;YEA;YEA;YEA
Embry;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Girdler;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Givens;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Harper,Angel;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA
Harris;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Hiqdon;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Hornback;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Humphries;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Jones;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA
Kerr;YEA;YEA;NV;NV;NV;YEA;NV;NV;YEA;NV;NV
McDaniel;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
McGarvey;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA
Meredith;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Neal;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA
Parrett;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA
Raque,Adams;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Ridley;YEA;YEA;YEA;NV;NV;YEA;NAY;YEA;NV;YEA;YEA
Robinson;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Schickel;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Schroder;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NAY
Seum;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Smith;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Stivers;YEA;YEA;YEA;YEA;YEA;YEA;NV;YEA;YEA;YEA;YEA
Thayer;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Thomas;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA
Turner;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA
Webb;YEA;YEA;YEA;YEA;YEA;YEA;NV;YEA;YEA;YEA;YEA
West;YEA;YEA;YEA;YEA;YEA;YEA;NV;YEA;YEA;YEA;YEA
Westerfield;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Wilson;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Wise;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
