Name,HB161,HB184,HB200,HB372,HB350,HB294,SB249,SB248,SB236,SB224,SB222,SB205,SB195,SB182,SB177,SB173,SB170,SB159
Adkins,YEA,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Bechler,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Bentley,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Benvenuti,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA
Blanton,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Bratcher,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Brown G,YEA,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Brown L,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Bunch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Burch,NAY,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Cantrell,YEA,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Carney,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Castlen,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Couch,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Coursey,YEA,NV,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
DeCesare,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Donohue,YEA,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Dossett,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
DuPlessis,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY
Elliott,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Fischer,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Fleming,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Flood,YEA,NAY,NV,YEA,YEA,NV,NAY,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Fugate,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Gentry,YEA,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Gooch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Graham,NAY,NAY,YEA,YEA,YEA,NAY,NV,NV,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,NAY
Greer,YEA,NAY,NV,YEA,YEA,NV,NV,NV,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,YEA
Hale,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Harris,YEA,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Hart,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Hatton,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Heath,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Herald,NAY,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV,YEA,YEA,YEA,YEA,YEA
Hoover,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Horlander,YEA,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV
Imes,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Jenkins,NAY,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Johnson D,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Johnson DJ,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Kay,YEA,NAY,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Keene,YEA,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
King,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Koenig,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Lee,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Linder,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Marzian,NAY,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Mayfield,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
McCoy,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Meade,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Meeks,NAY,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Meredith,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Meyer,YEA,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NV,YEA,YEA,YEA,NAY,YEA,YEA,NV
Miles,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
Miller C,YEA,NV,YEA,NV,YEA,NV,NV,NV,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,NV
Miller J,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Mills,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Moffett,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Moore,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Morgan,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,NV,NV,NV,YEA,NV,YEA,YEA,NV
Moser,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Nelson,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,YEA
Nemes,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Osborne,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Overly,YEA,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Owens,NAY,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Palumbo,YEA,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY
Petrie,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Pratt,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Prunty,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Rader,NAY,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
Rand,NAY,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Reed,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Richards,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Riggs,YEA,NAY,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Riley,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Rothenburger,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Rowland,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Rudy,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Santoro,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Schamore,YEA,YEA,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Scott,NAY,NAY,YEA,YEA,YEA,NAY,NV,NV,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,NAY
Shell,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Simpson,YEA,NV,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY
Sims,YEA,YEA,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Sinnette,YEA,NAY,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
St. Onge,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Stewart,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Stone,YEA,NV,YEA,NV,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Thomas,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Tipton,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Turner,NAY,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Upchurch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Watkins,NAY,NV,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Wayne,NAY,NAY,YEA,YEA,YEA,NAY,NAY,YEA,NV,NV,NAY,YEA,YEA,NV,NAY,NV,NV,NAY
Webber,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA
Wells,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,YEA,YEA,YEA
Westrom,YEA,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA
Wuchner,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
York,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
