Name,SB146,HB153,HB174,HB180,HB281,HJR56
Alvarado,YEA,YEA,YEA,YEA,YEA,YEA
Bowen,YEA,YEA,YEA,YEA,YEA,YEA
Buford,YEA,YEA,YEA,YEA,YEA,YEA
Carpenter,YEA,YEA,YEA,YEA,YEA,YEA
"Carroll, Danny",YEA,YEA,YEA,YEA,YEA,YEA
"Carroll, Julian",YEA,YEA,YEA,YEA,NAY,YEA
Clark,YEA,YEA,YEA,YEA,NAY,YEA
Embry,YEA,YEA,YEA,YEA,YEA,YEA
Girdler,YEA,YEA,YEA,YEA,YEA,YEA
Givens,YEA,YEA,YEA,YEA,YEA,YEA
Harper Angel,YEA,YEA,YEA,YEA,NAY,YEA
Harris,YEA,YEA,YEA,YEA,YEA,YEA
Higdon,YEA,YEA,YEA,YEA,YEA,YEA
Hornback,YEA,YEA,YEA,YEA,YEA,YEA
Humphries,YEA,YEA,YEA,YEA,YEA,YEA
Jones,YEA,YEA,YEA,YEA,NAY,YEA
Kerr,YEA,YEA,YEA,NV,YEA,YEA
McDaniel,YEA,YEA,YEA,YEA,YEA,YEA
McGarvey,YEA,YEA,YEA,YEA,NAY,YEA
Meredith,YEA,YEA,YEA,YEA,YEA,YEA
Neal,YEA,YEA,YEA,YEA,NAY,YEA
Parrett,NV,YEA,NV,YEA,NAY,YEA
Raque Adams,YEA,YEA,YEA,YEA,NAY,YEA
Ridley,YEA,YEA,YEA,YEA,NAY,YEA
Robinson,YEA,YEA,YEA,YEA,YEA,YEA
Schickel,YEA,YEA,YEA,YEA,YEA,YEA
Schroder,YEA,YEA,YEA,YEA,YEA,YEA
Seum,YEA,YEA,YEA,YEA,YEA,YEA
Smith,NV,YEA,NV,YEA,YEA,YEA
Stivers,YEA,YEA,NV,YEA,YEA,YEA
Thayer,YEA,YEA,YEA,YEA,YEA,YEA
Thomas,YEA,YEA,YEA,YEA,NAY,YEA
Turner,YEA,YEA,YEA,YEA,NAY,YEA
Webb,YEA,YEA,YEA,YEA,NAY,YEA
West,YEA,YEA,YEA,YEA,YEA,YEA
Westerfield,YEA,YEA,YEA,YEA,YEA,YEA
Wilson,YEA,YEA,YEA,YEA,YEA,YEA
Wise,YEA,YEA,YEA,YEA,YEA,YEA
