bill,sponsors
NA,NA
SB1,M. Wilson
SB1,D. Givens
SB1,R. Alvarado
SB1,D. Carroll
SB1,R. Girdler
SB1,S. Meredith
SB1,D. Thayer
SB1,S. West
SB1,M. Wise
SB2,J. Bowen
SB2,C. McDaniel
SB2,J. Adams
SB2,R. Alvarado
SB2,D. Carroll
SB2,R. Girdler
SB2,P. Hornback
SB2,D. Thayer
SB2,M. Wilson
SB2,M. Wise
SB3,C. McDaniel
SB3,J. Adams
SB3,R. Alvarado
SB3,J. Bowen
SB3,D. Carroll
SB3,R. Girdler
SB3,J. Schickel
SB3,W. Schroder
SB3,D. Seum
SB3,D. Thayer
SB3,M. Wise
SB4,R. Alvarado
SB4,D. Thayer
SB4,D. Carroll
SB4,R. Girdler
SB4,S. Humphries
SB4,A. Kerr
SB4,S. Meredith
SB4,D. Seum
SB4,W. Westerfield
SB4,M. Wise
SB5,B. Smith
SB5,W. Westerfield
SB5,R. Alvarado
SB5,J. Bowen
SB5,D. Carroll
SB5,R. Girdler
SB5,S. Meredith
SB5,D. Parrett
SB5,A. Robinson
SB5,J. Schickel
SB5,D. Seum
SB5,D. Thayer
SB5,M. Wilson
SB5,M. Wise
SB6,R. Alvarado
SB6,D. Seum
SB6,D. Thayer
SB6,M. Wise
SB7,A. Robinson
SB7,R. Alvarado
SB7,R. Girdler
SB7,P. Hornback
SB7,S. Meredith
SB7,J. Schickel
SB7,D. Seum
SB7,D. Thayer
SB7,R. Webb
SB7,S. West
SB7,M. Wilson
SB8,M. Wise
SB8,R. Girdler
SB8,S. Meredith
SB8,D. Thayer
SB8,S. West
SB8,W. Westerfield
SB8,M. Wilson
SB9,J. Schickel
SB9,T. Buford
SB9,J. Adams
SB9,J. Carpenter
SB9,R. Girdler
SB9,E. Harris
SB9,P. Hornback
SB9,C. McDaniel
SB9,S. West
SB9,W. Westerfield
SB10,P. Hornback
SB11,D. Carroll
SB11,S. Humphries
SB11,S. West
SB12,NA
SB13,M. Wilson
SB14,J. Schickel
SB14,D. Seum
SB14,R. Alvarado
SB14,T. Buford
SB14,J. Carpenter
SB14,D. Carroll
SB14,R. Girdler
SB14,P. Hornback
SB14,A. Kerr
SB14,C. McDaniel
SB14,S. Meredith
SB14,W. Schroder
SB14,D. Thayer
SB14,S. West
SB14,W. Westerfield
SB14,M. Wise
SB15,W. Westerfield
SB15,J. Adams
SB15,T. Buford
SB15,J. Carpenter
SB15,D. Carroll
SB15,P. Hornback
SB15,A. Kerr
SB15,S. Meredith
SB15,D. Parrett
SB15,D. Thayer
SB15,M. Wilson
SB16,J. Higdon
SB17,A. Robinson
SB17,D. Carroll
SB17,R. Girdler
SB17,D. Seum
SB17,D. Thayer
SB17,M. Wilson
SB17,M. Wise
SB18,R. Alvarado
SB19,R. Alvarado
SB19,D. Carroll
SB19,R. Girdler
SB19,W. Westerfield
SB20,W. Westerfield
SB21,J. Adams
SB21,M. Wilson
SB22,R. Thomas
SB23,R. Thomas
SB24,R. Thomas
SB26,J. Schickel
SB26,D. Carroll
SB26,R. Girdler
SB27,J. Schickel
SB28,G. Neal
SB29,D. Parrett
SB29,R. Girdler
SB29,R. Thomas
SB30,W. Westerfield
SB31,D. Carroll
SB31,S. Meredith
SB31,M. Wise
SB32,D. Carroll
SB32,R. Alvarado
SB32,R. Girdler
SB32,S. Meredith
SB32,M. Wise
SB33,R. Thomas
SB34,G. Neal
SB35,G. Neal
SB36,G. Neal
SB37,G. Neal
SB38,J. Bowen
SB38,D. Parrett
SB39,D. Carroll
SB40,D. Carroll
SB40,M. Wise
SB41,J. Schickel
SB42,J. Schickel
SB42,D. Carroll
SB42,S. Meredith
SB43,J. Bowen
SB44,R. Thomas
SB45,J. Bowen
SB46,R. Thomas
SB47,J. Carroll
SB48,J. Schickel
SB48,S. Humphries
SB50,D. Thayer
SB50,R. Alvarado
SB50,P. Hornback
SB51,W. Westerfield
