"legislator_id","FirstName","LastName","District","Full.Name","Party","Race","Gender","First.Elected","DOB","Initial.Name","LastUnique"
1,"Julie Raque","Adams","S36","Julie Raque Adams","Republican","White","Female",2015,"","J. Adams","Adams"
2,"Rocky","Adkins","H99","Rocky Adkins","Democratic","White","Male",1987,"","R. Adkins","Adkins"
3,"Ralph","Alvarado","S28","Ralph Alvarado","Republican","White","Male",2015,"4/30/1970","R. Alvarado","Alvarado"
4,"Lynn","Bechler","H4","Lynn Bechler","Republican","White","Male",2013,"","L. Bechler","Bechler"
5,"Danny","Bentley","H98","Danny Bentley","Republican","White","Male",2017,"","D. Bentley","Bentley"
6,"Robert","Benvenuti","H88","Robert J. Benvenuti III","Republican","White","Male",2013,"","R. Benvenuti","Benvenuti"
7,"John","Blanton","H92","John Blanton","Republican","White","Male",2017,"","J. Blanton","Blanton"
8,"Joe","Bowen","S8","Joe Bowen","Republican","White","Male",2011,"4/22/1950","J. Bowen","Bowen"
9,"Kevin","Bratcher","H29","Kevin Bratcher","Republican","White","Male",1997,"1961","K. Bratcher","Bratcher"
10,"George","Brown","H77","George A. Brown Jr.","Democratic","Black","Male",2015,"","G. Brown","Brown G"
11,"Larry","Brown","H95","Larry Brown","Republican","White","Male",2017,"1956","L. Brown","Brown L"
12,"Tom","Buford","S22","Tom Buford","Republican","White","Male",1991,"1949","T. Buford","Buford"
13,"Regina","Bunch","H82","Regina Bunch","Republican","White","Female",2012,"","R. Bunch","Bunch"
14,"Thomas","Burch","H30","Thomas Burch","Democratic","White","Male",1978,"1931","T. Burch","Burch"
15,"McKenzie","Cantrell","H38","McKenzie Cantrell","Democratic","White","Female",2017,"","M. Cantrell","Cantrell"
16,"John","Carney","H51","John Carney","Republican","White","Male",2009,"","J. Carney","Carney"
17,"Jared","Carpenter","S34","Jared Carpenter","Republican","White","Male",2011,"","J. Carpenter","Carpenter"
18,"Danny","Carroll","S2","Danny Carroll","Republican","White","Male",2015,"","D. Carroll","Carroll D"
19,"Julian M.","Carroll","S7","Julian M. Carroll","Democratic","White","Male",2005,"4/16/1931","J. Carroll","Carroll J"
20,"Matt","Castlen","H14","Matt Castlen","Republican","White","Male",2017,"1986","M. Castlen","Castlen"
21,"Perry B.","Clark","S37","Perry B. Clark","Democratic","White","Male",2006,"9/30/1957","P. Clark","Clark"
22,"Tim","Couch","H90","Tim Couch","Republican","White","Male",2003,"","T. Couch","Couch"
