"bill_id","legislator_id","MemberName","BillName","Vote"
"ga2017SB140",1,"Adams","SB140","YAY"
"ga2017SB126",1,"Adams","SB126","YAY"
"ga2017SB153",1,"Adams","SB153","NV"
"ga2017SB163",1,"Adams","SB163","NV"
"ga2017HB394",1,"Adams","HB394","YEA"
"ga2017SB165",1,"Adams","SB165","YAY"
"ga2017SB147",1,"Adams","SB147","YAY"
"ga2017SB019",1,"Adams","SB019","YAY"
"ga2017HB074",1,"Adams","HB074","YAY"
"ga2017SB032",1,"Adams","SB032","YAY"
"ga2017SB135",1,"Adams","SB135","YAY"
"ga2017SB110",1,"Adams","SB110","YEA"
"ga2017HB293",1,"Adams","HB293","YAY"
"ga2017HB343",1,"Adams","HB343","YAY"
"ga2017SB099",1,"Adams","SB099","YEA"
"ga2017HB093",1,"Adams","HB093","YAY"
"ga2017SB218",1,"Adams","SB218","YAY"
"ga2017SB238",1,"Adams","SB238","YAY"
"ga2017SB101",1,"Adams","SB101","YAY"
"ga2017SB108",1,"Adams","SB108","YEA"
"ga2017SB151",1,"Adams","SB151","YAY"
"ga2017HB100",1,"Adams","HB100","YAY"
"ga2017SB107",1,"Adams","SB107","YAY"
"ga2017HB388",1,"Adams","HB388","YEA"
"ga2017SB176",1,"Adams","SB176","YAY"
"ga2017HB002",1,"Adams","HB002","YAY"
"ga2017SB089",1,"Adams","SB089","YAY"
"ga2017SB116",1,"Adams","SB116","YAY"
"ga2017HB050",1,"Adams","HB050","YAY"
"ga2017HB289",1,"Adams","HB289","YAY"
"ga2017SB056",1,"Adams","SB056","YEA"
"ga2017HB003",1,"Adams","HB003","YAY"
"ga2017HB351",1,"Adams","HB351","YAY"
"ga2017HB067",1,"Adams","HB067","YAY"
"ga2017HB153",1,"Adams","HB153","YEA"
"ga2017SB079",1,"Adams","SB079","YAY"
"ga2017HB038",1,"Adams","HB038","YAY"
"ga2017HB403",1,"Adams","HB403","YAY"
"ga2017SB136",1,"Adams","SB136","YAY"
"ga2017HB299",1,"Adams","HB299","YAY"
"ga2017hb540",1,"Adams","hb540","YEA"
"ga2017SB062",1,"Adams","SB062","YAY"
"ga2017HB387",1,"Adams","HB387","YEA"
"ga2017HB284",1,"Adams","HB284","YAY"
"ga2017SB017",1,"Adams","SB017","YAY"
"ga2017HB078",1,"Adams","HB078","YEA"
"ga2017HB222",1,"Adams","HB222","YAY"
"ga2017HB184",1,"Adams","HB184","NV"
"ga2017HB246",1,"Adams","HB246","YAY"
"ga2017HB001",1,"Adams","HB001","YAY"
"ga2017HB364",1,"Adams","HB364","NV"
"ga2017HB498",1,"Adams","HB498","YAY"
"ga2017SB012",1,"Adams","SB012","YAY"
"ga2017SB215",1,"Adams","SB215","YEA"
"ga2017SB011",1,"Adams","SB011","YAY"
"ga2017HB161",1,"Adams","HB161","NV"
"ga2017SB111",1,"Adams","SB111","YEA"
"ga2017SB139",1,"Adams","SB139","YAY"
"ga2017HB304",1,"Adams","HB304","YAY"
"ga2017SB117",1,"Adams","SB117","YAY"
"ga2017SB075",1,"Adams","SB075","YAY"
"ga2017HB377",1,"Adams","HB377","YEA"
"ga2017SB061",1,"Adams","SB061","YEA"
"ga2017HB014",1,"Adams","HB014","YAY"
"ga2017HB366",1,"Adams","HB366","YAY"
"ga2017HB200",1,"Adams","HB200","NV"
"ga2017HB112",1,"Adams","HB112","YAY"
"ga2017SB078",1,"Adams","SB078","YEA"
"ga2017HB262",1,"Adams","HB262","YAY"
"ga2017SB083",1,"Adams","SB083","YAY"
"ga2017SB129",1,"Adams","SB129","NV"
"ga2017HB471",1,"Adams","HB471","NV"
"ga2017HB206",1,"Adams","HB206","YEA"
"ga2017HB271",1,"Adams","HB271","YAY"
"ga2017SB091",1,"Adams","SB091","YAY"
"ga2017HB119",1,"Adams","HB119","YAY"
"ga2017SB002",1,"Adams","SB002","NV"
"ga2017HB156",1,"Adams","HB156","YEA"
"ga2017HB276",1,"Adams","HB276","YAY"
"ga2017HB174",1,"Adams","HB174","YEA"
"ga2017HB144",1,"Adams","HB144","YAY"
"ga2017HB324",1,"Adams","HB324","YAY"
"ga2017HB410",1,"Adams","HB410","NV"
"ga2017HB245",1,"Adams","HB245","YAY"
"ga2017HB180",1,"Adams","HB180","YEA"
"ga2017SB170",1,"Adams","SB170","YEA"
"ga2017HB329",1,"Adams","HB329","YAY"
"ga2017HB453",1,"Adams","HB453","YAY"
"ga2017SB248",1,"Adams","SB248","YEA"
"ga2017SB021",1,"Adams","SB021","YAY"
"ga2017HB072",1,"Adams","HB072","YEA"
"ga2017HB223",1,"Adams","HB223","YAY"
"ga2017SB249",1,"Adams","SB249","YEA"
"ga2017HB255",1,"Adams","HB255","YAY"
"ga2017SB038",1,"Adams","SB038","YAY"
"ga2017HB374",1,"Adams","HB374","NV"
"ga2017HB502",1,"Adams","HB502","YAY"
"ga2017HB208",1,"Adams","HB208","NV"
"ga2017SB247",1,"Adams","SB247","YEA"
"ga2017SB082",1,"Adams","SB082","YEA"
"ga2017HB265",1,"Adams","HB265","YAY"
"ga2017SB112",1,"Adams","SB112","YEA"
"ga2017SB150",1,"Adams","SB150","NV"
"ga2017HB306",1,"Adams","HB306","YAY"
"ga2017SB122",1,"Adams","SB122","YAY"
"ga2017SB081",1,"Adams","SB081","YAY"
"ga2017HB376",1,"Adams","HB376","YEA"
"ga2017SB183",1,"Adams","SB183","YAY"
"ga2017HB026",1,"Adams","HB026","NV"
"ga2017HB368",1,"Adams","HB368","YAY"
"ga2017HB375",1,"Adams","HB375","YEA"
"ga2017HB113",1,"Adams","HB113","YAY"
"ga2017SB189",1,"Adams","SB189","YAY"
"ga2017HB035",1,"Adams","HB035","YAY"
"ga2017HB384",1,"Adams","HB384","YAY"
"ga2017HB360",1,"Adams","HB360","NAY"
"ga2017HB294",1,"Adams","HB294","NV"
"ga2017SB197",1,"Adams","SB197","YAY"
"ga2017SB224",1,"Adams","SB224","YEA"
"ga2017SB104",1,"Adams","SB104","YAY"
"ga2017HB333",1,"Adams","HB333","YEA"
"ga2017HB314",1,"Adams","HB314","NV"
"ga2017HB128",1,"Adams","HB128","YEA"
"ga2017SB236",1,"Adams","SB236","YEA"
"ga2017HB396",1,"Adams","HB396","YEA"
"ga2017HB158",1,"Adams","HB158","YAY"
"ga2017HB350",1,"Adams","HB350","NV"
"ga2017HB522",1,"Adams","HB522","YEA"
"ga2017HB520",1,"Adams","HB520","YAY"
"ga2017HB215",1,"Adams","HB215","NV"
"ga2017SB173",1,"Adams","SB173","YEA"
"ga2017HB337",1,"Adams","HB337","YAY"
"ga2017HB492",1,"Adams","HB492","YEA"
"ga2017SB119",1,"Adams","SB119","YEA"
"ga2017SB159",1,"Adams","SB159","YAY"
"ga2017HB033",1,"Adams","HB033","YEA"
"ga2017HB225",1,"Adams","HB225","NV"
"ga2017SB003",1,"Adams","SB003","NV"
"ga2017SB145",1,"Adams","SB145","NV"
"ga2017SB039",1,"Adams","SB039","YAY"
"ga2017HB378",1,"Adams","HB378","NV"
"ga2017HB417",1,"Adams","HB417","YEA"
"ga2017HB239",1,"Adams","HB239","YAY"
"ga2017HB524",1,"Adams","HB524","YEA"
"ga2017SB086",1,"Adams","SB086","YEA"
"ga2017HB268",1,"Adams","HB268","YAY"
"ga2017HB404",1,"Adams","HB404","YEA"
"ga2017SB161",1,"Adams","SB161","YEA"
"ga2017HB311",1,"Adams","HB311","YAY"
"ga2017SB128",1,"Adams","SB128","YAY"
"ga2017HB237",1,"Adams","HB237","YAY"
"ga2017HB207",1,"Adams","HB207","YAY"
"ga2017SB013",1,"Adams","SB013","YEA"
"ga2017SB006",1,"Adams","SB006","YAY"
"ga2017HB013",1,"Adams","HB013","YEA"
"ga2017HB226",1,"Adams","HB226","YAY"
"ga2017SB156",1,"Adams","SB156","YEA"
"ga2017SB120",1,"Adams","SB120","YEA"
"ga2017SB008",1,"Adams","SB008","NV"
"ga2017HB390",1,"Adams","HB390","NV"
"ga2017HCR59",1,"Adams","HCR59","YAY"
"ga2017HB330",1,"Adams","HB330","YEA"
"ga2017SB114",1,"Adams","SB114","YEA"
"ga2017SB010",1,"Adams","SB010","YAY"
"ga2017HB484",1,"Adams","HB484","YEA"
"ga2017SB188",1,"Adams","SB188","YEA"
"ga2017HB281",1,"Adams","HB281","NAY"
"ga2017HB312",1,"Adams","HB312","YAY"
"ga2017SB094",1,"Adams","SB094","YEA"
"ga2017SB004",1,"Adams","SB004","NV"
"ga2017HB163",1,"Adams","HB163","YAY"
"ga2017HB282",1,"Adams","HB282","YEA"
"ga2017HB318",1,"Adams","HB318","YAY"
"ga2017SB095",1,"Adams","SB095","NV"
"ga2017HB234",1,"Adams","HB234","NV"
"ga2017SB177",1,"Adams","SB177","YEA"
"ga2017HB277",1,"Adams","HB277","YEA"
"ga2017HB269",1,"Adams","HB269","YAY"
"ga2017SB009",1,"Adams","SB009","YEA"
"ga2017SB031",1,"Adams","SB031","YEA"
"ga2017HB319",1,"Adams","HB319","YEA"
"ga2017SB182",1,"Adams","SB182","YEA"
"ga2017HB270",1,"Adams","HB270","YAY"
"ga2017HB482",1,"Adams","HB482","YEA"
"ga2017SB042",1,"Adams","SB042","YAY"
"ga2017HJR56",1,"Adams","HJR56","YEA"
"ga2017HCR48",1,"Adams","HCR48","NAY"
"ga2017HB242",1,"Adams","HB242","YAY"
"ga2017SB235",1,"Adams","SB235","YEA"
"ga2017SB092",1,"Adams","SB092","NV"
"ga2017SB002",1,"Adams","SB002","NV"
"ga2017HB395",1,"Adams","HB395","NV"
"ga2017HB241",1,"Adams","HB241","YEA"
"ga2017HB238",1,"Adams","HB238","NV"
"ga2017SB219",1,"Adams","SB219","YEA"
"ga2017HB257",1,"Adams","HB257","YEA"
"ga2017SB001",1,"Adams","SB001","YEA"
"ga2017SB014",1,"Adams","SB014","YEA"
"ga2017hb473",1,"Adams","hb473","YEA"
"ga2017HB309",1,"Adams","HB309","YEA"
"ga2017HB227",1,"Adams","HB227","YAY"
"ga2017SB005",1,"Adams","SB005","NV"
"ga2017SB018",1,"Adams","SB018","YEA"
"ga2017SB050",1,"Adams","SB050","YAY"
"ga2017SB073",1,"Adams","SB073","YAY"
"ga2017HCR90",1,"Adams","HCR90","YEA"
"ga2017SB205",1,"Adams","SB205","YEA"
"ga2017SB146",1,"Adams","SB146","YEA"
"ga2017HB274",1,"Adams","HB274","NV"
"ga2017HB192",1,"Adams","HB192","YAY"
"ga2017SB190",1,"Adams","SB190","YEA"
"ga2017HB173",1,"Adams","HB173","YAY"
"ga2017HB191",1,"Adams","HB191","YAY"
"ga2017HB195",1,"Adams","HB195","YAY"
"ga2017HJR56",1,"Adams","HJR56","YEA"
"ga2017SB222",1,"Adams","SB222","YEA"
"ga2017HB469",1,"Adams","HB469","YEA"
"ga2017HB183",1,"Adams","HB183","YAY"
"ga2017SB195",1,"Adams","SB195","YEA"
"ga2017HB253",1,"Adams","HB253","YEA"
"ga2017HB189",1,"Adams","HB189","YAY"
"ga2017HB443",1,"Adams","HB443","YEA"
"ga2017SB006",3,"Alvarado","SB006","YAY"
"ga2017HB311",3,"Alvarado","HB311","YAY"
"ga2017HCR90",3,"Alvarado","HCR90","YEA"
"ga2017SB083",3,"Alvarado","SB083","YAY"
"ga2017HB153",3,"Alvarado","HB153","YEA"
"ga2017HB271",3,"Alvarado","HB271","YAY"
"ga2017HB206",3,"Alvarado","HB206","YEA"
"ga2017HB471",3,"Alvarado","HB471","NV"
"ga2017SB224",3,"Alvarado","SB224","YEA"
"ga2017HB174",3,"Alvarado","HB174","YEA"
"ga2017HB330",3,"Alvarado","HB330","YEA"
"ga2017HB245",3,"Alvarado","HB245","YAY"
"ga2017hb540",3,"Alvarado","hb540","YEA"
"ga2017SB161",3,"Alvarado","SB161","YEA"
"ga2017SB012",3,"Alvarado","SB012","YAY"
"ga2017HB281",3,"Alvarado","HB281","YEA"
"ga2017HB394",3,"Alvarado","HB394","YEA"
"ga2017SB126",3,"Alvarado","SB126","YAY"
"ga2017SB188",3,"Alvarado","SB188","YEA"
"ga2017HB163",3,"Alvarado","HB163","YAY"
"ga2017HB492",3,"Alvarado","HB492","YEA"
"ga2017SB249",3,"Alvarado","SB249","YEA"
"ga2017SB135",3,"Alvarado","SB135","YAY"
"ga2017SB190",3,"Alvarado","SB190","YEA"
"ga2017SB215",3,"Alvarado","SB215","YEA"
"ga2017SB177",3,"Alvarado","SB177","YEA"
"ga2017HB498",3,"Alvarado","HB498","YAY"
"ga2017SB136",3,"Alvarado","SB136","YAY"
"ga2017HB002",3,"Alvarado","HB002","YAY"
"ga2017SB139",3,"Alvarado","SB139","YAY"
"ga2017HB377",3,"Alvarado","HB377","YEA"
"ga2017HB502",3,"Alvarado","HB502","YAY"
"ga2017SB165",3,"Alvarado","SB165","YAY"
"ga2017SB082",3,"Alvarado","SB082","YEA"
"ga2017SB075",3,"Alvarado","SB075","YAY"
"ga2017SB005",3,"Alvarado","SB005","YAY"
"ga2017HB520",3,"Alvarado","HB520","NAY"
"ga2017HCR59",3,"Alvarado","HCR59","YAY"
"ga2017HB390",3,"Alvarado","HB390","NV"
"ga2017SB205",3,"Alvarado","SB205","YEA"
"ga2017SB146",3,"Alvarado","SB146","YEA"
"ga2017SB050",3,"Alvarado","SB050","YAY"
"ga2017HB238",3,"Alvarado","HB238","NV"
"ga2017SB031",3,"Alvarado","SB031","YEA"
"ga2017HB360",3,"Alvarado","HB360","YEA"
"ga2017SB008",3,"Alvarado","SB008","YAY"
"ga2017HB312",3,"Alvarado","HB312","YAY"
"ga2017SB001",3,"Alvarado","SB001","YEA"
"ga2017SB091",3,"Alvarado","SB091","YAY"
"ga2017HB333",3,"Alvarado","HB333","YEA"
"ga2017HB276",3,"Alvarado","HB276","YAY"
"ga2017HB156",3,"Alvarado","HB156","YEA"
"ga2017SB002",3,"Alvarado","SB002","NV"
"ga2017SB236",3,"Alvarado","SB236","YEA"
"ga2017HB180",3,"Alvarado","HB180","YEA"
"ga2017HB319",3,"Alvarado","HB319","YEA"
"ga2017HB246",3,"Alvarado","HB246","YAY"
