"legislator_id","bill_id","bill","sponsors"
60,"ga2017SB015","SB015","A. Kerr"
60,"ga2017SB169","SB169","A. Kerr"
60,"ga2017SB250","SB250","A. Kerr"
60,"ga2017SB060","SB060","A. Kerr"
60,"ga2017SB168","SB168","A. Kerr"
60,"ga2017SB170","SB170","A. Kerr"
60,"ga2017SB172","SB172","A. Kerr"
60,"ga2017SB091","SB091","A. Kerr"
60,"ga2017SB004","SB004","A. Kerr"
60,"ga2017SB014","SB014","A. Kerr"
101,"ga2017SB206","SB206","A. Robinson"
101,"ga2017SB160","SB160","A. Robinson"
101,"ga2017SB005","SB005","A. Robinson"
101,"ga2017SB007","SB007","A. Robinson"
101,"ga2017SB178","SB178","A. Robinson"
101,"ga2017SB112","SB112","A. Robinson"
101,"ga2017SB155","SB155","A. Robinson"
101,"ga2017SB017","SB017","A. Robinson"
115,"ga2017SB136","SB136","B. Smith"
115,"ga2017SB241","SB241","B. Smith"
115,"ga2017SB189","SB189","B. Smith"
115,"ga2017SB005","SB005","B. Smith"
115,"ga2017SB215","SB215","B. Smith"
115,"ga2017SB227","SB227","B. Smith"
29,"ga2017SB073","SB073","C. Embry Jr."
29,"ga2017SB082","SB082","C. Embry Jr."
29,"ga2017SB081","SB081","C. Embry Jr."
68,"ga2017SB052","SB052","C. McDaniel"
68,"ga2017SB237","SB237","C. McDaniel"
68,"ga2017SB208","SB208","C. McDaniel"
68,"ga2017SB112","SB112","C. McDaniel"
68,"ga2017SB104","SB104","C. McDaniel"
68,"ga2017SB207","SB207","C. McDaniel"
68,"ga2017SB211","SB211","C. McDaniel"
68,"ga2017SB209","SB209","C. McDaniel"
68,"ga2017SB212","SB212","C. McDaniel"
68,"ga2017SB002","SB002","C. McDaniel"
68,"ga2017SB126","SB126","C. McDaniel"
68,"ga2017SB003","SB003","C. McDaniel"
68,"ga2017SB014","SB014","C. McDaniel"
68,"ga2017SB226","SB226","C. McDaniel"
68,"ga2017SB210","SB210","C. McDaniel"
68,"ga2017SB009","SB009","C. McDaniel"
18,"ga2017SB150","SB150","D. Carroll"
18,"ga2017SB002","SB002","D. Carroll"
18,"ga2017SB130","SB130","D. Carroll"
18,"ga2017SB026","SB026","D. Carroll"
18,"ga2017SB019","SB019","D. Carroll"
18,"ga2017SB226","SB226","D. Carroll"
18,"ga2017SB136","SB136","D. Carroll"
18,"ga2017SB004","SB004","D. Carroll"
18,"ga2017SB079","SB079","D. Carroll"
18,"ga2017SB051","SB051","D. Carroll"
18,"ga2017SB040","SB040","D. Carroll"
18,"ga2017SB015","SB015","D. Carroll"
18,"ga2017SB138","SB138","D. Carroll"
18,"ga2017SB091","SB091","D. Carroll"
18,"ga2017SB031","SB031","D. Carroll"
18,"ga2017SB017","SB017","D. Carroll"
18,"ga2017SB164","SB164","D. Carroll"
18,"ga2017SB099","SB099","D. Carroll"
18,"ga2017SB001","SB001","D. Carroll"
18,"ga2017SB247","SB247","D. Carroll"
18,"ga2017SB193","SB193","D. Carroll"
18,"ga2017SB112","SB112","D. Carroll"
18,"ga2017SB032","SB032","D. Carroll"
18,"ga2017SB089","SB089","D. Carroll"
18,"ga2017SB236","SB236","D. Carroll"
18,"ga2017SB003","SB003","D. Carroll"
18,"ga2017SB005","SB005","D. Carroll"
18,"ga2017SB186","SB186","D. Carroll"
18,"ga2017SB042","SB042","D. Carroll"
18,"ga2017SB129","SB129","D. Carroll"
18,"ga2017SB117","SB117","D. Carroll"
18,"ga2017SB201","SB201","D. Carroll"
18,"ga2017SB011","SB011","D. Carroll"
18,"ga2017SB014","SB014","D. Carroll"
18,"ga2017SB039","SB039","D. Carroll"
36,"ga2017SB240","SB240","D. Givens"
36,"ga2017SB147","SB147","D. Givens"
36,"ga2017SB056","SB056","D. Givens"
36,"ga2017SB238","SB238","D. Givens"
36,"ga2017SB153","SB153","D. Givens"
36,"ga2017SB119","SB119","D. Givens"
36,"ga2017SB226","SB226","D. Givens"
36,"ga2017SB001","SB001","D. Givens"
36,"ga2017SB194","SB194","D. Givens"
36,"ga2017SB216","SB216","D. Givens"
36,"ga2017SB239","SB239","D. Givens"
90,"ga2017SB029","SB029","D. Parrett"
90,"ga2017SB005","SB005","D. Parrett"
90,"ga2017SB038","SB038","D. Parrett"
90,"ga2017SB015","SB015","D. Parrett"
90,"ga2017SB250","SB250","D. Parrett"
90,"ga2017SB106","SB106","D. Parrett"
98,"ga2017SB092","SB092","D. Ridley"
98,"ga2017SB242","SB242","D. Ridley"
98,"ga2017SB166","SB166","D. Ridley"
110,"ga2017SB109","SB109","D. Seum"
110,"ga2017SB099","SB099","D. Seum"
110,"ga2017SB190","SB190","D. Seum"
110,"ga2017SB222","SB222","D. Seum"
110,"ga2017SB006","SB006","D. Seum"
110,"ga2017SB105","SB105","D. Seum"
110,"ga2017SB005","SB005","D. Seum"
110,"ga2017SB087","SB087","D. Seum"
110,"ga2017SB121","SB121","D. Seum"
110,"ga2017SB003","SB003","D. Seum"
110,"ga2017SB007","SB007","D. Seum"
110,"ga2017SB017","SB017","D. Seum"
110,"ga2017SB014","SB014","D. Seum"
110,"ga2017SB088","SB088","D. Seum"
110,"ga2017SB112","SB112","D. Seum"
110,"ga2017SB004","SB004","D. Seum"
120,"ga2017SB007","SB007","D. Thayer"
120,"ga2017SB015","SB015","D. Thayer"
120,"ga2017SB102","SB102","D. Thayer"
120,"ga2017SB005","SB005","D. Thayer"
120,"ga2017SB218","SB218","D. Thayer"
120,"ga2017SB008","SB008","D. Thayer"
120,"ga2017SB004","SB004","D. Thayer"
120,"ga2017SB159","SB159","D. Thayer"
120,"ga2017SB001","SB001","D. Thayer"
120,"ga2017SB002","SB002","D. Thayer"
120,"ga2017SB233","SB233","D. Thayer"
120,"ga2017SB017","SB017","D. Thayer"
120,"ga2017SB075","SB075","D. Thayer"
120,"ga2017SB006","SB006","D. Thayer"
120,"ga2017SB003","SB003","D. Thayer"
120,"ga2017SB198","SB198","D. Thayer"
120,"ga2017SB232","SB232","D. Thayer"
120,"ga2017SB050","SB050","D. Thayer"
120,"ga2017SB014","SB014","D. Thayer"
43,"ga2017SB156","SB156","E. Harris"
43,"ga2017SB009","SB009","E. Harris"
43,"ga2017SB110","SB110","E. Harris"
43,"ga2017SB061","SB061","E. Harris"
43,"ga2017SB222","SB222","E. Harris"
83,"ga2017SB069","SB069","G. Neal"
83,"ga2017SB133","SB133","G. Neal"
83,"ga2017SB070","SB070","G. Neal"
83,"ga2017SB131","SB131","G. Neal"
83,"ga2017SB037","SB037","G. Neal"
83,"ga2017SB068","SB068","G. Neal"
83,"ga2017SB035","SB035","G. Neal"
83,"ga2017SB189","SB189","G. Neal"
83,"ga2017SB072","SB072","G. Neal"
83,"ga2017SB134","SB134","G. Neal"
83,"ga2017SB071","SB071","G. Neal"
83,"ga2017SB028","SB028","G. Neal"
83,"ga2017SB036","SB036","G. Neal"
83,"ga2017SB034","SB034","G. Neal"
1,"ga2017SB108","SB108","J. Adams"
1,"ga2017SB142","SB142","J. Adams"
1,"ga2017SB191","SB191","J. Adams"
1,"ga2017SB168","SB168","J. Adams"
1,"ga2017SB101","SB101","J. Adams"
1,"ga2017SB003","SB003","J. Adams"
1,"ga2017SB102","SB102","J. Adams"
1,"ga2017SB236","SB236","J. Adams"
1,"ga2017SB091","SB091","J. Adams"
1,"ga2017SB089","SB089","J. Adams"
1,"ga2017SB066","SB066","J. Adams"
1,"ga2017SB021","SB021","J. Adams"
1,"ga2017SB204","SB204","J. Adams"
1,"ga2017SB067","SB067","J. Adams"
1,"ga2017SB146","SB146","J. Adams"
1,"ga2017SB131","SB131","J. Adams"
1,"ga2017SB096","SB096","J. Adams"
1,"ga2017SB169","SB169","J. Adams"
1,"ga2017SB078","SB078","J. Adams"
1,"ga2017SB129","SB129","J. Adams"
1,"ga2017SB009","SB009","J. Adams"
1,"ga2017SB192","SB192","J. Adams"
1,"ga2017SB015","SB015","J. Adams"
1,"ga2017SB222","SB222","J. Adams"
1,"ga2017SB141","SB141","J. Adams"
1,"ga2017SB234","SB234","J. Adams"
1,"ga2017SB099","SB099","J. Adams"
