"bill_id","legislator_id","MemberName","BillName","Vote"
"ga2017HB116",2,"Adkins","HB116","YEA"
"ga2017SB238",2,"Adkins","SB238","YEA"
"ga2017SB128",2,"Adkins","SB128","YEA"
"ga2017HB289",2,"Adkins","HB289","YEA"
"ga2017HB384",2,"Adkins","HB384","YEA"
"ga2017HB226",2,"Adkins","HB226","YEA"
"ga2017HB515",2,"Adkins","HB515","YEA"
"ga2017HB206",2,"Adkins","HB206","YEA"
"ga2017HB540",2,"Adkins","HB540","YEA"
"ga2017SB183",2,"Adkins","SB183","YEA"
"ga2017HB343",2,"Adkins","HB343","NV"
"ga2017HB268",2,"Adkins","HB268","YEA"
"ga2017HB096",2,"Adkins","HB096","YEA"
"ga2017HB454",2,"Adkins","HB454","NAY"
"ga2017HB281",2,"Adkins","HB281","NAY"
"ga2017HB002",2,"Adkins","HB002","YEA"
"ga2017HB050",2,"Adkins","HB050","YEA"
"ga2017SB151",2,"Adkins","SB151","NAY"
"ga2017HB311",2,"Adkins","HB311","YEA"
"ga2017HB173",2,"Adkins","HB173","YEA"
"ga2017HB319",2,"Adkins","HB319","YEA"
"ga2017SB012",2,"Adkins","SB012","YEA"
"ga2017HB244",2,"Adkins","HB244","YEA"
"ga2017SB122",2,"Adkins","SB122","YEA"
"ga2017SB218",2,"Adkins","SB218","YEA"
"ga2017HB038",2,"Adkins","HB038","YEA"
"ga2017HB225",2,"Adkins","HB225","YEA"
"ga2017HB377",2,"Adkins","HB377","YEA"
"ga2017SB083",2,"Adkins","SB083","YEA"
"ga2017HB305",2,"Adkins","HB305","YEA"
"ga2017SB176",2,"Adkins","SB176","YEA"
"ga2017HB093",2,"Adkins","HB093","YEA"
"ga2017HB265",2,"Adkins","HB265","YEA"
"ga2017HB191",2,"Adkins","HB191","YEA"
"ga2017HB448",2,"Adkins","HB448","YEA"
"ga2017HB347",2,"Adkins","HB347","YEA"
"ga2017HB013",2,"Adkins","HB013","YEA"
"ga2017SB042",2,"Adkins","SB042","YEA"
"ga2017SB147",2,"Adkins","SB147","YEA"
"ga2017HB306",2,"Adkins","HB306","YEA"
"ga2017HB525",2,"Adkins","HB525","YEA"
"ga2017HB163",2,"Adkins","HB163","YEA"
"ga2017HB401",2,"Adkins","HB401","YEA"
"ga2017HB241",2,"Adkins","HB241","YEA"
"ga2017HJR56",2,"Adkins","HJR56","YEA"
"ga2017SB021",2,"Adkins","SB021","YEA"
"ga2017HB368",2,"Adkins","HB368","YEA"
"ga2017HB113",2,"Adkins","HB113","YEA"
"ga2017HB223",2,"Adkins","HB223","NAY"
"ga2017HB484",2,"Adkins","HB484","NV"
"ga2017HB301",2,"Adkins","HB301","YEA"
"ga2017HB234",2,"Adkins","HB234","YEA"
"ga2017HB074",2,"Adkins","HB074","YEA"
"ga2017HB329",2,"Adkins","HB329","YEA"
"ga2017HB189",2,"Adkins","HB189","YEA"
"ga2017HB078",2,"Adkins","HB078","YEA"
"ga2017HB333",2,"Adkins","HB333","YEA"
"ga2017HB378",2,"Adkins","HB378","NAY"
"ga2017HB272",2,"Adkins","HB272","YEA"
"ga2017SB146",2,"Adkins","SB146","YEA"
"ga2017HB239",2,"Adkins","HB239","YEA"
"ga2017HB304",2,"Adkins","HB304","YEA"
"ga2017HB158",2,"Adkins","HB158","YEA"
"ga2017HB396",2,"Adkins","HB396","YEA"
"ga2017SB150",2,"Adkins","SB150","YEA"
"ga2017HB310",2,"Adkins","HB310","YEA"
"ga2017SB002",2,"Adkins","SB002","YEA"
"ga2017HB271",2,"Adkins","HB271","YEA"
"ga2017HB366",2,"Adkins","HB366","NAY"
"ga2017HB222",2,"Adkins","HB222","YEA"
"ga2017HB482",2,"Adkins","HB482","YEA"
"ga2017HB375",2,"Adkins","HB375","YEA"
"ga2017HB167",2,"Adkins","HB167","YEA"
"ga2017SB008",2,"Adkins","SB008","YEA"
"ga2017HB324",2,"Adkins","HB324","NAY"
