bill,sponsors
SB1,M. Wilson
SB1,D. Givens
SB1,R. Alvarado
SB1,D. Carroll
SB1,R. Girdler
SB1,S. Meredith
SB1,D. Thayer
SB1,S. West
SB1,M. Wise
SB10,P. Hornback
SB101,J. Adams
SB101,J. Higdon
SB101,M. McGarvey
SB102,R. Alvarado
SB102,M. Wise
SB102,J. Adams
SB102,J. Schickel
SB102,D. Thayer
SB102,M. Wilson
SB104,C. McDaniel
SB105,T. Buford
SB105,P. Clark
SB105,D. Seum
SB106,D. Parrett
SB107,R. Stivers II
SB108,J. Adams
SB108,R. Alvarado
SB108,R. Thomas
SB109,M. McGarvey
SB109,D. Seum
SB11,D. Carroll
SB11,S. Humphries
SB11,S. West
SB110,E. Harris
SB111,R. Alvarado
SB112,C. McDaniel
SB112,T. Buford
SB112,J. Carpenter
SB112,D. Carroll
SB112,R. Girdler
SB112,J. Higdon
SB112,S. Meredith
SB112,A. Robinson
SB112,J. Schickel
SB112,D. Seum
SB113,R. Thomas
SB114,R. Girdler
SB115,W. Westerfield
SB116,S. Meredith
SB117,M. Wise
SB117,M. Wilson
SB117,D. Carroll
SB117,R. Girdler
SB118,W. Schroder
SB119,D. Givens
SB12,R. Stivers II
SB120,W. Westerfield
SB121,D. Seum
SB122,W. Schroder
SB123,J. Schickel
SB123,R. Girdler
SB124,T. Buford
SB125,T. Buford
SB126,C. McDaniel
SB126,J. Schickel
SB127,J. Turner
SB128,P. Hornback
SB128,R. Girdler
SB129,P. Hornback
SB129,J. Adams
SB129,D. Carroll
SB13,M. Wilson
SB130,S. Humphries
SB130,D. Carroll
SB130,M. Wise
SB131,G. Neal
SB131,J. Adams
SB131,P. Clark
SB131,R. Thomas
SB132,J. Higdon
SB133,G. Neal
SB134,G. Neal
SB135,T. Buford
SB136,J. Carpenter
SB136,T. Buford
SB136,J. Adams
SB136,D. Carroll
SB136,S. Humphries
SB136,B. Smith
SB136,M. Wise
SB137,J. Carroll
SB137,R. Thomas
SB138,R. Webb
SB138,D. Carroll
SB138,S. Meredith
SB138,W. Westerfield
SB138,M. Wilson
SB139,R. Webb
SB14,J. Schickel
SB14,D. Seum
SB14,R. Alvarado
SB14,T. Buford
SB14,J. Carpenter
SB14,D. Carroll
SB14,R. Girdler
SB14,P. Hornback
SB14,A. Kerr
SB14,C. McDaniel
SB14,S. Meredith
SB14,W. Schroder
SB14,D. Thayer
SB14,S. West
SB14,W. Westerfield
SB14,M. Wise
SB140,P. Hornback
SB141,J. Adams
SB142,J. Adams
SB142,W. Westerfield
SB143,NA
SB144,NA
SB145,J. Higdon
SB146,J. Adams
SB147,M. Wilson
SB147,D. Givens
SB148,T. Buford
SB149,M. Wise
SB15,W. Westerfield
SB15,J. Adams
SB15,T. Buford
SB15,J. Carpenter
SB15,D. Carroll
SB15,P. Hornback
SB15,A. Kerr
SB15,S. Meredith
SB15,D. Parrett
SB15,D. Thayer
SB15,M. Wilson
SB150,D. Carroll
SB150,R. Alvarado
SB151,S. Meredith
SB151,W. Schroder
SB152,J. Schickel
SB152,P. Hornback
SB152,T. Buford
SB153,D. Givens
SB153,M. Wilson
SB153,W. Schroder
SB154,S. Meredith
SB155,A. Robinson
SB156,E. Harris
SB156,R. Girdler
SB157,NA
SB158,P. Hornback
SB159,J. Carpenter
SB159,M. Wise
SB159,R. Alvarado
SB159,M. McGarvey
SB159,D. Thayer
SB159,M. Wilson
SB16,J. Higdon
SB160,A. Robinson
SB161,M. Wilson
