Bill,Sponsor
HB 1,J. Hoover
HB 1,J. DeCesare
HB 1,R. Benvenuti III
HB 1,K. Bratcher
HB 1,J. Carney
HB 1,J. DuPlessis
HB 1,R. Heath
HB 1,T. Herald
HB 1,D. Johnson
HB 1,K. King
HB 1,A. Koenig
HB 1,S. Lee
HB 1,D. Meade
HB 1,J. Miller
HB 1,K. Moser
HB 1,D. Osborne
HB 1,P. Pratt
HB 1,B. Rowland
HB 1,S. Santoro
HB 1,J. Shell
HB 1,D. St. Onge
HB 1,W. Thomas
HB 1,S. Wells
HB 1,A. Wuchner
HB 100,C. McCoy
HB 100,J. Kay
HB 100,A. Koenig
HB 100,K. Moser
HB 100,J. Nemes
HB 100,D. Osborne
HB 100,S. Santoro
HB 100,D. St. Onge
HB 100,S. Westrom
HB 100,A. Wuchner
HB 112,S. Lee
HB 112,K. King
HB 112,C. Morgan
HB 112,B. Rowland
HB 112,D. St. Onge
HB 112,S. Westrom
HB 113,J. Richards
HB 113,S. Riggs
HB 113,R. Benvenuti III
HB 113,M. Hart
HB 520,C. Miller
HB 113,P. Pratt
HB 113,M. Prunty
HB 119,J. Gooch Jr.
HB 119,M. Castlen
HB 119,R. Benvenuti III
HB 119,D. Hale
HB 119,S. Riggs
HB 119,S. Santoro
HB 14,K. Bratcher
HB 14,D. Bentley
HB 14,R. Benvenuti III
HB 14,J. Blanton
HB 14,R. Bunch
HB 14,T. Burch
HB 14,J. Carney
HB 14,M. Castlen
HB 14,J. DuPlessis
HB 14,J. Fischer
HB 14,C. Fugate
HB 14,D. Hale
HB 14,M. Hart
HB 14,D. Horlander
HB 14,K. Imes
HB 14,DJ Johnson
HB 14,K. King
HB 14,S. Lee
HB 14,D. Mayfield
HB 14,M. Meredith
HB 14,R. Meyer
HB 14,S. Miles
HB 14,C. Miller
HB 14,C. Morgan
HB 14,P. Pratt
HB 14,M. Prunty
HB 14,B. Reed
HB 14,S. Riley
HB 14,B. Rowland
HB 14,W. Thomas
HB 14,J. Tipton
HB 14,K. Upchurch
HB 14,R. Webber
HB 14,J. York
HB 144,S. Santoro
HB 144,D. Hale
HB 153,M. Meredith
HB 153,J. Greer
HB 153,B. Rowland
HB 158,K. Moser
HB 158,D. Bentley
HB 158,R. Benvenuti III
HB 158,J. Richards
HB 158,S. Westrom
HB 161,DJ Johnson
HB 161,D. Schamore
HB 161,D. Johnson
HB 161,T. Moore
HB 161,R. Palumbo
HB 161,M. Prunty
HB 161,D. St. Onge
HB 163,B. Rowland
HB 163,J. Greer
HB 173,J. Miller
HB 174,R. Heath
HB 174,M. Castlen
HB 174,J. DeCesare
HB 174,M. Dossett
HB 174,J. Gooch Jr.
HB 174,D. Hale
HB 174,M. Hart
HB 174,K. King
HB 174,S. Miles
HB 174,R. Mills
HB 174,J. Petrie
HB 174,P. Pratt
HB 174,M. Prunty
HB 174,B. Rowland
HB 174,S. Rudy
HB 174,D. Schamore
HB 174,J. Sims Jr
HB 174,W. Stone
HB 174,W. Thomas
HB 174,J. Tipton
HB 174,T. Turner
HB 180,A. Wuchner
HB 180,M. Prunty
HB 180,D. Elliott
HB 180,D. Graham
HB 180,R. Meeks
HB 180,S. Westrom
HB 183,A. Koenig
HB 184,S. Miles
HB 184,J. Petrie
HB 184,M. Castlen
HB 184,J. DeCesare
HB 184,J. Gooch Jr.
HB 184,DJ Johnson
HB 184,M. Meredith
HB 184,R. Mills
HB 184,M. Prunty
HB 184,B. Reed
HB 184,J. Richards
HB 184,B. Rowland
HB 184,D. Schamore
HB 189,J. DeCesare
HB 189,S. Westrom
HB 189,S. Santoro
HB 189,A. Wuchner
HB 191,B. Rowland
HB 191,J. Greer
HB 191,S. Riggs
HB 192,L. Brown
HB 192,S. Westrom
HB 192,A. Wuchner
HB 195,J. Tipton
HB 195,M. Hart
HB 195,C. Miller
HB 195,T. Moore
HB 195,W. Stone
HB 2,J. Hoover
HB 2,A. Wuchner
HB 2,L. Bechler
HB 2,D. Bentley
HB 2,R. Benvenuti III
HB 2,J. Blanton
HB 2,K. Bratcher
HB 2,J. Carney
HB 2,M. Castlen
HB 2,J. DuPlessis
HB 2,M. Hart
HB 2,R. Heath
HB 2,T. Herald
HB 2,K. Imes
