Name;SB3;SB4;SB5
Alvarado;Yay;yay;yay
Bowen;yay;yay;yay
Buford;yay;yay;yay
Carpenter;yay;yay;yay
Carroll,Danny;yay;yay;yay
Carroll,Julian;yay;Nay;Nay
Clark;yay;nv;Nay
Embry;yay;Nay;yay
Girdler;yay;yay;yay
Givens;yay;yay;yay
Harper,Angel;yay;Nay;Nay
Harris;nv;yay;nv
Hiqdon;yay;yay;yay
Hornback;yay;yay;yay
Humphries;yay;yay;yay
Jones;yay;Nay;yay
Kerr;yay;yay;yay
Mcaniel;yay;yay;yay
McGarvey;yay;Nay;Nay
Meredith;yay;yay;yay
Neal;yay;Nay;Nay
Parrett;yay;yay;yay
Raque,Adams;yay;yay;yay
Ridley;yay;nv;yay
Robinson;yay;yay;yay
Schickel;yay;Nay;yay
Schroder;yay;Nay;yay
Seurn;yay;yay;yay
Smith;yay;yay;yay
Stivers;yay;yay;yay
Thayer;yay;yay;yay
Thomas;yay;Nay;Nay
Turner;yay;Nay;yay
Webb;nv;Nay;nv
West;yay;yay;yay
Westerfield;yay;yay;yay
Wilson;yay;yay;yay
Wise;yay;yay;yay
