Name;SB9;SB13;SB14;SB18;SB56;SB61;SB78;SB82;SB86;SB92;SB94;SB95;SB99;SB108;SB110;SB111;SB112;SB119;SB145;SB156;S161;SB188;SB190;SB215;SB247
Alvarado;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Bowen;NAY;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Buford;YEA;YEA;YEA;NAY;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA
Carpenter;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;NV;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Carroll,Danny;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Carroll,Julian;YEA;YEA;YEA;NAY;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA
Clark;YEA;YEA;YEA;NAY;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NV;YEA;NAY;NV;YEA;NV;NV;YEA;YEA
Embry;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Girdler;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Givens;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Harper,Angel;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA
Harris;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Hiqdon;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Hornback;YEA;YEA;YEA;YEA;NAY;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Humphries;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;NV;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Jones;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Kerr;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NV;NV;NV;YEA;YEA;YEA;NV;YEA;NV;NV;YEA;YEA
McDaniel;YEA;YEA;YEA;NV;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
McGarvey;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Meredith;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Neal;YEA;YEA;NV;NAY;NV;YEA;YEA;YEA;YEA;YEA;NV;YEA;NAY;YEA;YEA;YEA;YEA;NV;NAY;YEA;YEA;YEA;YEA;YEA;YEA
Parrett;YEA;YEA;NV;NV;NV;NV;NV;YEA;YEA;YEA;NV;YEA;NV;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Raque,Adams;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NV;YEA;NV;YEA;YEA;YEA;YEA;YEA;YEA;NV;YEA;YEA;YEA;YEA;YEA;YEA
Ridley;YEA;NV;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;NV
Robinson;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Schickel;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
Schroder;YEA;YEA;YEA;YEA;YEA;YEA;NAY;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA;YEA
